Workcenter,Machine_Number,Bid,Job_Name,Time,PT,PS,RDue,RP,CR,Pool,Setup,
1,0,-7.530319347,job5001,414.2,-3.804032339,-0.176535185,3.170208788,-2.000601192,-2.467222418,-0.499624725,-1.752512275,3.999999999
1,1,-7.047583277,job5001,414.2,-1.531851341,-0.13810368,0.322572801,-1.032726408,1.705110074,-0.166604974,-6.205979749,2
1,0,-3.322947564,job5011,415,-1.902016169,-0.176535185,3.048054882,-1.575473439,-2.46716529,-0.249812363,0,1.999999999
1,1,-6.161582321,job5011,415,-0.76592567,-0.13810368,0.306535694,-0.813272046,1.705070592,-0.249907461,-6.205979749,3
1,0,-5.970366665,job5021,415.7,-2.717165956,-0.176535185,3.093280838,-1.700511013,-2.46711071,-0.249812363,-1.752512275,1.999999999
1,1,-0.345128061,job5021,415.7,-1.094179529,-0.13810368,0.309847185,-0.877817447,1.705032872,-0.249907461,0,3
1,0,-7.1079744,job5031,416.6,-3.804032339,-0.176535185,3.217611038,-2.000601192,-2.466998265,-0.124906181,-1.752512275,1
1,1,-0.927531218,job5031,416.6,-1.531851341,-0.13810368,0.320102511,-1.032726408,1.704955161,-0.249907461,0,3
1,0,-3.029130139,job5041,417.4,-1.902016169,-0.176535185,3.091716876,-1.575473439,-2.466822222,0,0,0
1,1,-6.250236355,job5041,417.4,-0.76592567,-0.13810368,0.301421243,-0.813272046,1.704833496,-0.333209948,-6.205979749,4
2,0,4.544557414,job5012,417.4,0.408375066,1.043123631,6.081273835,-0.653532598,0.65553836,-0.228326721,-2.761894158,4
2,1,5.105136,job5012,417.4,2.649868536,0.05469096,3.500877317,1.325785204,2.726992132,-0.671561478,-4.481516671,7
1,0,-6.979114197,job5051,418.3,-3.804032339,-0.176535185,3.221790861,-2.000601192,-2.467224066,0,-1.752512275,0
1,1,-1.097077511,job5051,418.3,-1.531851341,-0.13810368,0.31700514,-1.032726408,1.705111213,-0.416512435,0,5
2,0,7.089382669,job5002,418.4,0.136125022,1.043123631,6.309597794,-0.770234848,0.656179471,-0.285408402,0,5
2,1,3.677351464,job5002,418.4,0.883289512,0.05469096,3.600257471,1.562532561,2.729659107,-0.671561478,-4.481516671,7
1,0,-4.937914707,job5061,419.2,-1.902016169,-0.176535185,3.060753747,-1.575473439,-2.467225204,-0.124906181,-1.752512275,1
1,1,-6.333419106,job5061,419.2,-0.76592567,-0.13810368,0.301262476,-0.813272046,1.705112,-0.416512435,-6.205979749,5
1,0,-5.960164349,job5071,419.9,-2.717165956,-0.176535185,3.103561403,-1.700511013,-2.467188959,-0.249812363,-1.752512275,1.999999999
1,1,-0.430546526,job5071,419.9,-1.094179529,-0.13810368,0.307677128,-0.877817447,1.70508695,-0.333209948,0,4
2,0,4.334409076,job5022,420.4,0.272250044,1.043123631,6.089383451,-0.676873048,0.653827557,-0.285408402,-2.761894158,5
2,1,4.354426482,job5022,420.4,1.766579024,0.05469096,3.497287301,1.373134675,2.719875316,-0.575624124,-4.481516671,6
1,0,-5.843114598,job5081,420.6,-2.717165956,-0.176535185,3.095668791,-1.700511013,-2.467152777,-0.124906181,-1.752512275,1
1,1,-6.637182937,job5081,420.6,-1.094179529,-0.13810368,0.307045473,-0.877817447,1.705061944,-0.333209948,-6.205979749,4
1,0,-5.978683332,job5081,420.7,-2.717165956,-0.176535185,3.084587584,-1.700511013,-2.466734123,-0.249812363,-1.752512275,1.999999999
1,1,-6.63747227,job5081,420.7,-1.094179529,-0.13810368,0.307045473,-0.877817447,1.704772611,-0.333209948,-6.205979749,4
2,0,7.419963187,job5062,421.1,0.408375066,1.043123631,6.194092066,-0.653532598,0.656231744,-0.228326721,0,4
2,1,5.234612324,job5062,421.1,2.649868536,0.05469096,3.531531861,1.325785204,2.729876558,-0.575624124,-4.481516671,6
1,0,-5.221766689,job5091,421.4,-1.902016169,-0.176535185,3.026451799,-1.575473439,-2.466962875,-0.374718544,-1.752512275,2.999999999
1,1,-6.2468819,job5091,421.4,-0.76592567,-0.13810368,0.304678491,-0.813272046,1.704930702,-0.333209948,-6.205979749,4
2,0,4.369426407,job5032,421.7,0.136125022,1.043123631,6.295557842,-0.770234848,0.655075639,-0.228326721,-2.761894158,4
2,1,3.679131126,job5032,421.7,0.883289512,0.05469096,3.606628995,1.562532561,2.725067246,-0.671561478,-4.481516671,7
1,0,-5.095747967,job5101,422.2,-1.630299574,-0.176535185,3.105805704,-1.800541073,-2.466947019,-0.374718544,-1.752512275,2.999999999
1,1,-6.246600292,job5101,422.2,-0.656507717,-0.13810368,0.311734826,-0.929453767,1.704919744,-0.333209948,-6.205979749,4
4,0,3.092712778,job5003,422.8,-1.31252726,0.422437079,-0.42175311,3.095251919,0.35376945,0,0.9555347,0
4,1,-1.211916014,job5003,422.8,0.545659328,0.700011893,2.039546789,0.970529351,-1.841376467,-0.32812152,-3.298165386,5
1,0,-7.396058435,job5111,423,-3.804032339,-0.176535185,3.179353324,-2.000601192,-2.467012224,-0.374718544,-1.752512275,2.999999999
1,1,-7.219186442,job5111,423,-1.531851341,-0.13810368,0.317719877,-1.032726408,1.704964808,-0.333209948,-6.205979749,4
2,0,4.282708409,job5042,423.4,0.408375066,1.043123631,5.881472469,-0.653532598,0.650572401,-0.285408402,-2.761894158,5
2,1,5.229139422,job5042,423.4,2.649868536,0.05469096,3.453664062,1.325785204,2.7063341,-0.47968677,-4.481516671,5
2,0,4.392341452,job5082,423.6,0.272250044,1.043123631,6.145085311,-0.676873048,0.656058074,-0.285408402,-2.761894158,5
2,1,8.921657073,job5082,423.6,1.766579024,0.05469096,3.573722434,1.373134675,2.729154103,-0.575624124,0,6
3,0,1.669591751,job5004,423.6,-2.906512576,0.091251825,1.152416641,3.314629352,0.28069556,-0.26288905,0,4
