Machine,Job,Type,Makespan,Processing Time,Setup,Time,Priority
2,job00,1,6.75,6.75,0.0,0.0,3
2,job03,1,13.5,6.75,0.0,6.75,3
3,job02,2,18.5,7.5,0.0,11.0,1
2,job04,1,20.25,6.75,0.0,13.5,3
2,job12,1,27.0,6.75,0.0,20.25,3
3,job17,1,31.25,6.75,0.0,24.5,1
2,job16,1,33.75,6.75,0.0,27.0,1
3,job05,2,38.75,7.5,0.0,31.25,1
2,job21,1,40.5,6.75,0.0,33.75,1
4,job20,2,45.0,7.5,0.0,37.5,10
3,job01,3,44.5,5.0,0.0,39.5,3
2,job25,1,47.25,6.75,0.0,40.5,1
3,job08,2,52.8,8.3,0.8,44.5,1
2,job22,1,54.0,6.75,0.0,47.25,3
4,job28,2,60.0,7.5,0.0,52.5,3
3,job19,2,60.3,7.5,0.0,52.8,1
2,job29,1,60.75,6.75,0.0,54.0,3
1,job33,2,65.0,7.5,0.0,57.5,3
4,job06,3,65.0,5.0,0.0,60.0,3
3,job09,2,67.8,7.5,0.0,60.3,1
2,job39,1,67.5,6.75,0.0,60.75,3
4,job30,2,72.5,7.5,0.0,65.0,3
2,job40,1,74.25,6.75,0.0,67.5,1
3,job23,2,75.3,7.5,0.0,67.8,1
4,job35,2,80.0,7.5,0.0,72.5,1
1,job41,2,80.5,7.5,0.0,73.0,10
2,job47,1,81.0,6.75,0.0,74.25,10
3,job31,2,82.8,7.5,0.0,75.3,1
4,job10,2,87.5,7.5,0.0,80.0,1
2,job49,1,87.75,6.75,0.0,81.0,3
3,job13,3,88.6,5.8,0.8,82.8,1
4,job38,2,95.0,7.5,0.0,87.5,3
2,job53,1,94.5,6.75,0.0,87.75,1
3,job27,3,93.6,5.0,0.0,88.6,1
3,job36,3,98.6,5.0,0.0,93.6,1
2,job56,1,101.25,6.75,0.0,94.5,3
4,job32,3,100.8,5.8,0.8,95.0,3
3,job44,2,106.89999999999999,8.3,0.8,98.6,1
4,job15,2,109.1,8.3,0.8,100.8,1
2,job50,1,108.0,6.75,0.0,101.25,10
3,job45,2,114.39999999999999,7.5,0.0,106.89999999999999,1
2,job59,1,114.75,6.75,0.0,108.0,10
0,job26,2,116.0,7.5,0.0,108.5,1
4,job24,2,116.6,7.5,0.0,109.1,1
3,job34,2,121.89999999999999,7.5,0.0,114.39999999999999,3
2,job69,1,121.5,6.75,0.0,114.75,1
4,job42,2,124.1,7.5,0.0,116.6,3
2,job71,1,128.25,6.75,0.0,121.5,1
3,job52,2,129.39999999999998,7.5,0.0,121.89999999999999,1
0,job54,2,129.5,7.5,0.0,122.0,1
4,job67,2,131.6,7.5,0.0,124.1,3
2,job76,1,135.0,6.75,0.0,128.25,1
3,job58,2,136.89999999999998,7.5,0.0,129.39999999999998,1
0,job37,2,137.0,7.5,0.0,129.5,1
4,job70,2,139.1,7.5,0.0,131.6,3
2,job72,1,141.75,6.75,0.0,135.0,3
3,job77,2,144.39999999999998,7.5,0.0,136.89999999999998,1
0,job43,2,146.5,7.5,0.0,139.0,1
4,job66,3,144.9,5.8,0.8,139.1,3
2,job64,1,148.5,6.75,0.0,141.75,10
3,job46,3,150.2,5.8,0.8,144.39999999999998,1
4,job85,2,153.20000000000002,8.3,0.8,144.9,3
2,job80,1,155.25,6.75,0.0,148.5,10
3,job78,2,158.5,8.3,0.8,150.2,1
0,job82,2,158.5,7.5,0.0,151.0,1
4,job61,3,159.00000000000003,5.8,0.8,153.20000000000002,3
1,job07,2,162.0,7.5,0.0,154.5,10
2,job98,1,162.0,6.75,0.0,155.25,1
3,job79,2,166.0,7.5,0.0,158.5,1
0,job83,2,166.0,7.5,0.0,158.5,1
4,job91,2,167.30000000000004,8.3,0.8,159.00000000000003,3
2,job100,1,168.75,6.75,0.0,162.0,1
3,job81,2,173.5,7.5,0.0,166.0,1
4,job88,2,174.80000000000004,7.5,0.0,167.30000000000004,3
2,job102,1,175.5,6.75,0.0,168.75,1
0,job48,2,177.5,7.5,0.0,170.0,1
3,job51,2,181.0,7.5,0.0,173.5,3
4,job74,3,180.60000000000005,5.8,0.8,174.80000000000004,1
2,job111,1,182.25,6.75,0.0,175.5,1
1,job99,2,183.0,7.5,0.0,175.5,10
4,job68,2,188.90000000000006,8.3,0.8,180.60000000000005,10
3,job93,2,188.5,7.5,0.0,181.0,1
2,job112,1,189.0,6.75,0.0,182.25,3
0,job55,2,192.5,7.5,0.0,185.0,1
3,job60,2,196.0,7.5,0.0,188.5,3
4,job75,3,194.70000000000007,5.8,0.8,188.90000000000006,3
2,job115,1,195.75,6.75,0.0,189.0,3
0,job103,2,200.0,7.5,0.0,192.5,1
4,job105,2,203.00000000000009,8.3,0.8,194.70000000000007,3
2,job101,1,202.5,6.75,0.0,195.75,10
3,job73,3,201.8,5.8,0.8,196.0,1
1,job117,2,207.5,7.5,0.0,200.0,10
0,job62,2,208.0,7.5,0.0,200.5,1
3,job107,2,210.10000000000002,8.3,0.8,201.8,1
2,job121,1,209.25,6.75,0.0,202.5,1
4,job57,3,208.8000000000001,5.8,0.8,203.00000000000009,3
1,job120,2,215.0,7.5,0.0,207.5,10
4,job108,2,217.1000000000001,8.3,0.8,208.8000000000001,3
3,job90,2,217.60000000000002,7.5,0.0,210.10000000000002,3
