Workcenter,Machine,Job,Type,Priority
4,2,job5001,2,1
4,1,job5011,2,10
1,0,job5002,2,1
4,1,job5021,2,3
4,2,job5031,2,3
4,2,job5041,2,1
4,1,job5051,2,10
1,0,job5012,2,10
3,2,job5061,1,3
3,2,job5071,1,3
3,2,job5081,1,10
3,0,job5003,2,1
1,1,job5022,2,3
1,0,job5042,2,1
3,2,job5091,1,1
1,2,job5052,2,10
4,2,job5101,2,3
3,3,job5023,2,3
4,2,job5111,2,1
1,0,job5032,2,3
3,2,job5121,1,1
3,0,job5043,2,1
3,2,job5131,1,3
1,1,job5092,1,1
1,1,job5112,2,1
3,2,job5141,1,3
3,3,job5033,2,3
1,0,job5102,2,3
2,0,job5093,1,1
1,1,job5122,1,1
3,2,job5151,1,1
4,1,job5161,2,10
4,2,job5171,2,3
3,0,job5113,2,1
4,2,job5181,2,3
1,0,job5162,2,10
4,1,job5191,2,10
4,2,job5201,2,3
2,0,job5123,1,1
3,4,job5103,2,3
1,0,job5172,2,3
1,1,job5062,1,3
3,2,job5211,1,1
1,0,job5192,2,10
1,1,job5182,2,3
2,0,job5063,1,3
3,1,job5013,2,10
1,3,job5202,2,3
1,1,job5152,1,1
2,0,job5221,3,10
5,1,job5094,1,1
2,0,job5231,3,3
3,4,job5173,2,3
3,3,job5183,2,3
4,2,job5241,2,1
4,1,job5251,2,10
2,0,job5153,1,1
1,0,job5252,2,10
3,2,job5261,1,10
1,1,job5212,1,1
3,1,job5163,2,10
1,3,job5242,2,1
4,2,job5271,2,1
4,2,job5281,2,1
2,0,job5213,1,1
3,3,job5203,2,3
3,2,job5291,1,10
3,1,job5193,2,10
1,0,job5272,2,1
1,1,job5072,1,3
4,2,job5301,2,1
5,1,job5232,3,3
2,0,job5311,3,10
4,2,job5321,2,1
3,2,job5331,1,1
1,3,job5282,2,1
1,3,job5233,3,3
4,2,job5341,2,1
3,3,job5253,2,10
2,0,job5073,1,3
5,1,job5124,1,1
1,3,job5302,2,1
1,1,job5132,1,3
4,2,job5351,2,1
3,0,job5273,2,1
1,0,job5322,2,1
2,0,job5133,1,3
2,1,job5361,3,10
3,3,job5243,2,1
5,1,job5154,1,1
1,1,job5332,1,1
1,0,job5342,2,1
2,0,job5371,3,1
3,0,job5323,2,1
5,1,job5214,1,1
5,1,job5362,3,10
3,2,job5381,1,10
1,0,job5352,2,1
2,0,job5333,1,1
1,1,job5142,1,3
3,3,job5343,2,1
5,1,job5372,3,1
2,0,job5143,1,3
4,2,job5391,2,1
2,0,job5411,3,1
4,1,job5401,2,3
4,2,job5421,2,3
5,1,job5064,1,3
3,0,job5353,2,1
3,2,job5431,1,3
2,0,job5441,3,1
5,0,job5074,1,3
1,0,job5392,2,1
1,3,job5402,2,3
2,0,job5451,3,1
3,3,job5283,2,1
2,0,job5461,3,1
4,2,job5471,2,1
4,2,job5481,2,1
2,1,job5491,3,10
1,0,job5422,2,3
1,3,job5373,3,1
5,1,job5412,3,1
1,1,job5432,1,3
4,2,job5501,2,1
5,1,job5492,3,10
2,0,job5511,3,1
1,0,job5472,2,1
5,1,job5334,1,1
2,0,job5433,1,3
1,3,job5482,2,1
3,2,job5521,1,10
3,3,job5393,2,1
5,0,job5442,3,1
3,2,job5531,1,1
1,0,job5502,2,1
4,2,job5541,2,1
3,0,job5303,2,1
1,3,job5413,3,1
5,0,job5134,1,3
3,3,job5473,2,1
3,2,job5551,1,1
4,2,job5561,2,1
1,3,job5443,3,1
1,0,job5542,2,1
5,0,job5452,3,1
3,3,job5503,2,1
1,0,job5562,2,1
5,0,job5144,1,3
1,1,job5532,1,1
3,4,job5053,2,10
3,0,job5543,2,1
3,2,job5571,1,1
1,2,job5363,3,10
4,2,job5581,2,1
4,2,job5591,2,3
4,1,job5601,2,10
2,0,job5533,1,1
5,1,job5462,3,1
3,3,job5483,2,1
1,2,job5493,3,10
3,0,job5563,2,1
1,1,job5552,1,1
1,0,job5582,2,1
1,2,job5602,2,10
1,3,job5463,3,1
5,1,job5434,1,3
1,0,job5592,2,3
2,0,job5553,1,1
3,4,job5423,2,3
5,1,job5512,3,1
1,1,job5572,1,1
3,2,job5621,1,3
4,2,job5611,2,1
2,0,job5631,3,3
3,2,job5641,1,3
4,0,job5364,3,10
3,3,job5583,2,1
4,2,job5651,2,1
4,1,job5661,2,10
4,2,job5671,2,3
5,1,job5534,1,1
2,0,job5573,1,1
1,3,job5513,3,1
3,2,job5681,1,1
4,2,job5691,2,1
1,0,job5612,2,1
4,2,job5701,2,3
4,2,job5711,2,1
1,2,job5662,2,10
3,4,job5403,2,3
3,3,job5593,2,3
5,1,job5632,3,3
1,0,job5652,2,1
3,2,job5721,1,1
4,1,job5731,2,3
4,2,job5741,2,3
2,0,job5751,3,1
3,4,job5365,3,10
5,1,job5554,1,1
1,0,job5692,2,1
3,3,job5613,2,1
4,2,job5761,2,1
1,1,job5682,1,1
1,0,job5732,2,3
1,3,job5633,3,3
4,1,job5771,2,3
4,1,job5781,2,1
4,2,job5791,2,1
1,2,job5712,2,1
4,0,job5494,3,10
4,2,job5801,2,1
5,1,job5752,3,1
2,0,job5683,1,1
3,0,job5653,2,1
1,0,job5772,2,3
1,3,job5453,3,1
1,0,job5762,2,1
1,1,job5722,1,1
4,2,job5811,2,1
5,1,job5574,1,1
3,4,job5495,3,10
4,2,job5821,2,1
2,0,job5831,3,3
1,2,job5782,2,1
2,0,job5851,3,3
3,3,job5693,2,1
4,1,job5841,2,3
1,1,job5792,2,1
2,0,job5723,1,1
4,0,job5234,3,3
5,1,job5222,3,10
1,3,job5753,3,1
1,2,job5842,2,3
3,0,job5713,2,1
1,1,job5622,1,3
1,0,job5802,2,1
3,3,job5763,2,1
4,2,job5861,2,1
2,0,job5871,3,10
3,2,job5881,1,1
3,0,job5793,2,1
2,0,job5891,3,1
3,2,job5901,1,1
5,1,job5684,1,1
1,1,job5812,2,1
3,4,job5235,3,3
3,3,job5783,2,1
4,2,job5911,2,1
2,0,job5623,1,3
3,4,job5733,2,3
1,1,job5642,1,3
3,2,job5921,1,3
3,2,job5931,1,10
4,0,job5374,3,1
5,1,job5832,3,3
1,3,job5822,2,1
4,2,job5941,2,1
3,4,job5843,2,3
3,0,job5803,2,1
3,3,job5813,2,1
5,1,job5724,1,1
1,0,job5862,2,1
2,0,job5951,3,1
3,4,job5375,3,1
1,1,job5882,1,1
2,0,job5643,1,3
3,1,job5603,2,10
1,2,job5912,2,1
3,4,job5773,2,3
4,0,job5414,3,1
5,0,job5892,3,1
3,2,job5971,1,10
3,3,job5981,1,3
4,1,job5961,2,10
4,2,job5991,2,3
4,1,job6001,2,10
2,0,job5883,1,1
1,3,job5893,3,1
1,0,job5942,2,1
3,1,job5663,2,10
1,1,job5902,1,1
5,1,job5624,1,3
1,2,job5962,2,10
3,0,job5863,2,1
3,4,job5415,3,1
3,0,job5823,2,1
1,2,job5672,2,3
2,0,job6011,3,1
1,2,job6002,2,10
2,0,job5903,1,1
2,1,job6021,3,10
3,3,job5913,2,1
4,2,job6031,2,1
5,0,job5952,3,1
3,0,job5943,2,1
1,3,job5833,3,3
1,0,job5702,2,3
1,1,job5922,1,3
1,0,job5953,3,1
5,1,job6022,3,10
5,1,job5884,1,1
3,1,job5673,2,3
1,2,job6032,2,1
2,0,job6041,3,1
4,2,job6051,2,1
2,0,job5923,1,3
4,0,job5444,3,1
2,1,job6061,3,10
3,4,job5703,2,3
2,0,job6071,3,3
3,2,job6081,1,1
5,0,job6012,3,1
1,0,job5742,2,3
3,1,job5963,2,10
5,1,job6062,3,10
1,3,job6013,3,1
3,4,job5445,3,1
3,2,job6091,1,1
5,1,job5904,1,1
1,0,job6052,2,1
4,2,job6101,2,1
4,2,job6111,2,1
1,1,job6082,1,1
4,0,job5454,3,1
4,1,job6121,2,10
4,2,job5954,3,1
1,2,job5992,2,3
5,0,job6042,3,1
4,2,job6131,2,1
1,2,job6122,2,10
2,0,job6083,1,1
3,3,job6033,2,1
3,4,job5455,3,1
5,1,job5644,1,3
3,3,job6053,2,1
1,1,job6092,1,1
3,3,job5955,3,1
4,0,job5464,3,1
4,2,job6141,2,1
3,4,job5993,2,3
4,1,job6151,2,3
2,0,job6093,1,1
4,2,job6161,2,1
5,0,job5852,3,3
1,3,job6043,3,1
3,1,job5743,2,3
1,0,job6102,2,1
4,1,job6171,2,3
1,0,job6152,2,3
3,4,job5465,3,1
1,3,job5853,3,3
3,1,job6003,2,10
4,1,job6181,2,3
5,1,job6084,1,1
1,2,job6112,2,1
1,0,job6172,2,3
3,0,job6103,2,1
4,0,job5514,3,1
4,1,job6191,2,1
4,2,job6201,2,1
1,2,job6132,2,1
3,2,job6211,1,1
5,0,job6072,3,3
1,0,job6182,2,3
3,3,job6153,2,3
1,3,job6073,3,3
3,4,job5515,3,1
1,0,job6142,2,1
2,0,job6221,3,1
5,1,job6094,1,1
1,2,job6192,2,1
3,0,job6113,2,1
3,2,job6231,1,10
4,2,job5754,3,1
3,2,job6241,1,1
1,3,job6162,2,1
3,3,job6173,2,3
4,2,job6251,2,3
1,1,job6212,1,1
4,2,job6261,2,3
5,0,job5312,3,10
4,1,job6271,2,10
4,2,job6281,2,3
4,2,job6291,2,1
2,0,job6213,1,1
3,0,job6143,2,1
1,2,job5313,3,10
5,1,job5924,1,3
3,4,job5755,3,1
1,0,job6272,2,10
4,2,job6301,2,1
1,1,job6242,1,1
3,3,job6133,2,1
2,0,job6321,3,1
4,1,job6311,2,3
4,0,job5634,3,3
1,2,job5223,3,10
3,3,job6183,2,3
1,0,job6202,2,1
5,0,job6222,3,1
2,0,job6243,1,1
1,0,job6312,2,3
2,0,job6341,3,3
3,2,job6331,1,3
3,0,job6163,2,1
3,4,job5635,3,3
1,3,job6292,2,1
2,0,job6351,3,3
5,1,job6214,1,1
1,1,job5982,1,3
3,1,job6273,2,10
1,3,job6223,3,1
4,2,job6361,2,1
4,1,job5314,3,10
1,0,job6302,2,1
2,0,job6371,3,3
2,0,job5983,1,3
5,0,job6322,3,1
2,0,job6381,3,1
3,2,job6391,1,10
3,0,job6203,2,1
1,1,job6332,1,3
1,0,job6362,2,1
1,3,job6323,3,1
3,1,job5315,3,10
4,2,job6401,2,1
4,0,job5894,3,1
5,1,job6244,1,1
2,0,job6333,1,3
3,2,job6411,1,1
3,2,job6421,1,10
3,3,job6303,2,1
1,2,job6252,2,3
3,0,job6193,2,1
3,4,job5895,3,1
4,2,job6431,2,1
5,1,job6382,3,1
1,3,job6402,2,1
3,0,job6293,2,1
4,2,job6441,2,1
3,3,job6363,2,1
4,1,job6451,2,3
3,2,job6461,1,3
5,0,job5984,1,3
3,2,job6471,1,3
1,0,job6432,2,1
1,1,job6412,1,1
3,2,job6481,1,1
1,0,job6452,2,3
3,4,job6313,2,3
1,0,job6442,2,1
5,1,job6342,3,3
1,3,job6383,3,1
2,0,job6491,3,10
3,2,job6501,1,1
4,1,job5224,3,10
2,0,job6413,1,1
3,2,job6511,1,1
3,2,job6521,1,1
4,0,job5834,3,3
1,2,job6343,3,3
3,3,job6433,2,1
4,2,job6531,2,1
1,0,job6262,2,3
5,1,job6334,1,3
1,1,job6462,1,3
3,2,job6541,1,1
4,2,job6551,2,3
4,1,job6561,2,1
4,2,job6571,2,1
1,2,job6023,3,10
3,1,job5225,3,10
3,4,job5835,3,3
4,1,job6581,2,3
1,1,job6532,2,1
3,0,job6403,2,1
2,0,job6463,1,3
3,0,job6443,2,1
5,1,job6352,3,3
1,3,job6562,2,1
3,2,job6591,1,10
1,1,job6482,1,1
1,0,job6572,2,1
3,2,job6601,1,1
5,1,job6414,1,1
2,0,job6611,3,3
1,0,job6582,2,3
3,3,job6533,2,1
3,2,job6621,1,1
3,4,job6263,2,3
1,2,job6282,2,3
4,1,job6631,2,10
2,0,job6641,3,1
4,2,job6344,3,3
2,0,job6483,1,1
2,0,job6651,3,1
4,0,job5854,3,3
5,0,job6372,3,3
1,1,job6502,1,1
1,3,job6353,3,3
3,2,job6661,1,1
3,3,job6573,2,1
1,2,job6632,2,10
1,0,job6552,2,3
1,3,job6373,3,3
4,2,job6671,2,1
2,0,job6681,3,1
3,4,job6253,2,3
5,1,job6484,1,1
2,0,job6503,1,1
3,4,job5855,3,3
3,0,job6563,2,1
3,4,job6453,2,3
3,3,job6345,3,3
1,1,job6512,1,1
4,2,job6691,2,1
3,2,job6701,1,1
4,2,job6711,2,3
3,2,job6731,1,10
4,2,job6721,2,3
5,1,job6642,3,1
1,0,job6672,2,1
2,0,job6513,1,1
3,4,job6553,2,3
4,2,job6741,2,1
5,1,job6504,1,1
2,0,job6751,3,1
4,2,job6761,2,1
1,0,job6692,2,1
1,1,job6522,1,1
4,0,job6024,3,10
4,0,job6014,3,1
3,3,job6673,2,1
4,1,job6771,2,10
1,3,job6742,2,1
3,2,job6781,1,10
5,0,job6652,3,1
2,0,job6523,1,1
2,0,job6791,3,1
3,1,job6025,3,10
2,0,job6801,3,1
3,4,job6283,2,3
1,2,job6653,3,1
3,2,job6811,1,10
1,2,job6772,2,10
1,3,job6643,3,1
1,1,job6542,1,1
3,0,job6693,2,1
1,0,job6762,2,1
4,2,job6821,2,1
5,1,job6514,1,1
4,1,job6831,2,10
3,2,job6841,1,1
2,1,job6851,3,10
3,4,job6015,3,1
4,0,job6044,3,1
3,2,job6861,1,10
3,1,job6123,2,10
1,2,job6712,2,3
2,0,job6543,1,1
4,2,job6871,2,1
1,0,job6832,2,10
3,3,job6583,2,3
5,0,job6682,3,1
1,1,job6602,1,1
4,2,job6881,2,1
5,1,job6852,3,10
1,0,job6822,2,1
1,3,job6683,3,1
3,4,job6045,3,1
3,2,job6891,1,1
3,3,job6901,1,1
3,0,job6743,2,1
5,1,job6524,1,1
3,0,job6763,2,1
2,0,job6603,1,1
1,0,job6872,2,1
1,1,job6622,1,1
4,2,job6654,3,1
3,2,job6911,1,1
5,0,job6752,3,1
4,2,job6921,2,3
3,3,job6823,2,1
4,1,job6931,2,10
1,0,job6882,2,1
1,3,job6753,3,1
2,0,job6623,1,1
4,1,job6941,2,10
2,0,job6961,3,1
3,2,job6951,1,3
5,1,job6544,1,1
4,0,job6074,3,3
1,2,job6932,2,10
3,4,job6713,2,3
4,2,job6971,2,3
1,1,job6662,1,1
3,0,job6873,2,1
3,3,job6655,3,1
4,2,job6981,2,1
4,1,job6991,2,3
1,2,job6942,2,10
3,2,job7001,1,10
5,0,job6792,3,1
3,4,job6075,3,3
2,0,job6663,1,1
3,1,job6633,2,10
4,2,job7011,2,1
2,1,job7021,3,10
4,2,job7031,2,1
3,0,job6883,2,1
1,0,job6793,3,1
4,2,job7041,2,1
1,2,job6722,2,3
1,0,job6992,2,3
5,1,job6604,1,1
1,1,job6702,1,1
4,0,job6224,3,1
3,2,job7051,1,1
4,2,job7061,2,1
5,1,job7022,3,10
3,1,job6773,2,10
1,3,job6982,2,1
4,1,job7071,2,3
3,1,job6833,2,10
2,0,job6703,1,1
4,1,job7081,2,10
4,2,job7091,2,1
4,1,job7101,2,3
5,0,job6802,3,1
3,4,job6225,3,1
1,1,job6842,1,1
1,2,job7072,2,3
1,0,job7012,2,1
1,3,job6803,3,1
3,4,job6723,2,3
5,1,job6624,1,1
4,0,job6324,3,1
1,2,job7102,2,3
1,1,job7032,2,1
2,0,job6843,1,1
3,3,job7073,2,3
1,1,job6892,1,1
2,0,job7111,3,1
4,2,job7131,2,1
2,0,job7121,3,1
3,2,job7141,1,3
4,2,job6794,3,1
5,0,job6962,3,1
1,2,job7082,2,10
2,0,job7151,3,1
3,4,job6325,3,1
1,3,job7042,2,1
2,0,job7191,3,1
3,2,job7161,1,10
3,3,job6983,2,1
4,1,job7181,2,3
3,2,job7171,1,3
3,0,job7033,2,1
1,3,job6963,3,1
3,3,job7103,2,3
4,1,job7201,2,10
5,1,job6664,1,1
1,0,job7182,2,3
3,0,job7013,2,1
4,2,job7211,2,1
2,0,job6893,1,1
3,3,job6795,3,1
1,1,job6912,1,1
1,2,job7202,2,10
3,1,job6933,2,10
5,0,job6612,3,3
4,2,job7221,2,1
3,4,job6993,2,3
1,0,job7062,2,1
2,0,job6913,1,1
3,3,job7241,1,1
4,1,job7231,2,3
4,0,job6384,3,1
1,2,job6613,3,3
4,1,job7251,2,3
5,1,job6704,1,1
1,1,job7052,1,1
4,1,job7261,2,3
3,1,job6943,2,10
3,2,job7271,1,1
4,1,job7281,2,10
1,2,job7232,2,3
3,2,job7291,1,10
1,0,job7092,2,1
3,3,job7183,2,3
4,2,job7301,2,1
3,4,job6385,3,1
1,2,job6063,3,10
3,0,job7043,2,1
2,0,job7053,1,1
3,0,job7311,1,1
5,0,job7112,3,1
1,0,job7262,2,3
4,1,job7321,2,3
1,3,job7132,2,1
4,2,job7331,2,1
3,2,job7351,1,10
4,1,job7341,2,10
1,2,job6472,1,3
1,3,job7113,3,1
3,0,job7063,2,1
4,1,job7361,2,3
4,2,job7371,2,1
3,3,job7381,1,1
5,1,job6844,1,1
4,1,job7391,2,3
1,0,job7252,2,3
1,1,job7212,2,1
4,0,job6614,3,3
3,0,job7093,2,1
1,0,job7392,2,3
1,1,job7222,2,1
3,2,job7401,1,10
4,0,job6354,3,3
5,0,job7122,3,1
1,1,job7272,1,1
3,2,job7411,1,10
3,4,job7213,2,1
2,0,job6473,1,3
3,4,job6615,3,3
1,3,job7123,3,1
1,1,job6902,1,1
4,2,job7421,2,3
1,2,job7362,2,3
1,0,job7302,2,1
3,3,job7253,2,3
4,1,job7431,2,10
4,2,job7441,2,10
5,0,job6464,1,3
1,1,job7312,1,1
2,0,job7273,1,1
3,0,job7133,2,1
4,2,job7451,2,1
1,0,job7322,2,3
3,4,job6355,3,3
1,3,job7332,2,1
1,2,job6952,1,3
3,3,job7263,2,3
