Workcenter,Machine,Job,Type,Priority
1,1,job5001,2,1
1,0,job5011,3,1
1,1,job5021,1,1
1,1,job5031,2,1
1,1,job5041,3,1
2,1,job5012,3,1
1,1,job5051,2,1
2,0,job5002,2,1
1,0,job5061,3,1
1,1,job5071,1,1
2,1,job5022,1,1
1,0,job5081,1,1
2,0,job5062,3,1
1,0,job5091,3,1
2,0,job5032,2,1
1,0,job5101,4,1
4,0,job5003,2,1
1,1,job5111,2,1
2,1,job5042,3,1
2,1,job5082,1,1
3,0,job5004,2,1
1,0,job5121,3,1
1,0,job5131,1,1
2,1,job5092,3,1
2,0,job5052,2,1
4,0,job5063,3,1
2,1,job5102,4,1
4,0,job5013,3,1
1,0,job5141,2,1
4,0,job5033,2,1
2,0,job5072,1,1
2,1,job5122,3,1
1,1,job5151,1,1
3,0,job5064,3,1
2,1,job5132,1,1
3,0,job5014,3,1
1,0,job5161,2,1
2,0,job5005,2,1
4,0,job5023,1,1
3,1,job5034,2,1
1,1,job5171,2,1
2,0,job5142,2,1
4,0,job5053,2,1
1,0,job5181,4,1
2,0,job5112,2,1
4,0,job5043,3,1
3,1,job5024,1,1
1,0,job5191,4,1
2,1,job5065,3,1
4,0,job5083,1,1
4,0,job5073,1,1
2,0,job5035,2,1
1,0,job5201,4,1
3,0,job5054,2,1
2,0,job5162,2,1
2,1,job5152,1,1
4,1,job5093,3,1
2,1,job5015,3,1
3,0,job5044,3,1
1,0,job5211,4,1
3,1,job5084,1,1
1,1,job5006,2,1
3,1,job5074,1,1
1,1,job5221,1,1
2,0,job5172,2,1
4,0,job5143,2,1
2,0,job5025,1,1
4,0,job5113,2,1
4,0,job5103,4,1
1,0,job5231,4,1
2,0,job5182,4,1
3,0,job5144,2,1
2,0,job5055,2,1
3,0,job5114,2,1
4,0,job5123,3,1
2,1,job5085,1,1
1,1,job5241,1,1
2,0,job5045,3,1
2,1,job5192,4,1
3,1,job5104,4,1
3,0,job5007,2,1
4,0,job5133,1,1
2,0,job5075,1,1
1,1,job5251,1,1
